fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2024,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,current_value_2023,current_value_2024,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2024,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050
,012,129,,,1,,01,1,2,0.399546,0.406229,0.423061,0.426063,0.439548,0.442029,0.437865,0.438553,0.436813,0.440492,0.471368,0.518566,0.550938,1.335396,1.357732,1.413990,1.424023,1.469093,1.477385,1.463470,1.465767,1.459952,1.472251,1.575445,1.733195,1.841392,1.317470,1.345829,1.243212,1.614386,2.000528,2.063935,2.286222,0.089630,0.091129,0.094905,0.095578,0.098603,0.099160,0.098226,0.098380,0.097990,0.098815,0.105741,0.116329,0.123591
,012,223,,,1,,01,1,2,1.784415,1.814261,1.889436,1.902842,1.963066,1.974148,1.955553,1.958623,1.832801,1.845223,1.932068,2.082477,2.163120,5.964019,6.063774,6.315028,6.359835,6.561123,6.598159,6.536012,6.546271,6.125737,6.167257,6.457516,6.960226,7.229756,5.883958,6.010615,5.552316,7.210018,8.934567,9.217749,10.210506,0.293693,0.298606,0.310979,0.313185,0.323097,0.324921,0.321861,0.322366,0.301657,0.303702,0.317995,0.342751,0.356024
,012,229,,,1,,01,1,3,0.327464,0.332941,0.346737,0.349197,0.360249,0.362282,0.358870,0.359433,0.376390,0.391755,0.423131,0.468132,0.499682,1.094477,1.112783,1.158892,1.167115,1.204053,1.210850,1.199445,1.201328,1.258001,1.309356,1.414223,1.564630,1.670077,1.079785,1.103028,1.018924,1.323134,1.639612,1.691580,1.873764,0.098196,0.099838,0.103975,0.104713,0.108027,0.108636,0.107613,0.107782,0.112867,0.117474,0.126883,0.140377,0.149838
,012,280,,,1,,01,1,2,1.855768,1.886808,1.964988,1.978930,2.041563,2.053087,2.033750,2.036942,2.385753,2.577652,2.887762,3.294254,3.616124,6.202501,6.306245,6.567545,6.614145,6.823481,6.861998,6.797366,6.808035,7.973861,8.615240,9.651717,11.010326,12.086109,6.119239,6.250960,5.774336,7.498323,9.291832,9.586338,10.618791,0.356547,0.362511,0.377531,0.380210,0.392244,0.394458,0.390743,0.391356,0.458373,0.495242,0.554823,0.632922,0.694763
,019,011,,,1,,01,1,2,750.832520,763.391033,795.022304,800.663287,826.004119,830.666742,822.842795,824.134391,1264.136700,1476.488800,1769.348800,2113.168700,2446.235100,1052.646118,1070.252800,1114.598954,1122.507455,1158.034590,1164.571456,1153.602502,1155.413284,1772.284198,2069.995813,2480.577293,2962.603207,3429.552960,1038.515472,1060.870229,979.980837,1272.564211,1576.946208,1626.927777,1802.148736,98.320764,99.965289,104.107372,104.846053,108.164409,108.774975,107.750437,107.919570,165.537430,193.344724,231.694447,276.717318,320.332028
,019,012,,,1,,01,1,2,0.885063,0.899867,0.937153,0.943802,0.973673,0.979170,0.969947,0.971469,1.517952,1.770775,2.139556,2.590137,3.028971,1.235379,1.256042,1.308086,1.317368,1.359062,1.366734,1.353861,1.355986,2.118772,2.471664,2.986412,3.615336,4.227865,1.218795,1.245031,1.150099,1.493474,1.850694,1.909352,2.114991,0.170442,0.173293,0.180473,0.181754,0.187506,0.188565,0.186788,0.187082,0.292321,0.341009,0.412027,0.498798,0.583307
,019,019,,,1,,01,1,2,1910.014038,1941.961157,2022.426733,2036.776615,2101.240185,2113.101251,2093.198213,2096.483856,2896.119900,3218.152100,3716.692400,4333.878400,4889.613800,2681.846191,2726.703065,2839.684590,2859.833225,2950.346371,2967.000467,2939.054657,2943.668021,4066.435061,4518.599748,5218.598980,6085.188432,6865.495124,2645.845281,2702.798913,2496.715496,3242.135628,4017.615332,4144.954309,4591.368020,241.417517,245.455495,255.625996,257.439759,265.587676,267.086863,264.571205,264.986496,366.057035,406.760513,469.773852,547.783494,618.026047
,019,123,,,1,,01,1,3,0.079046,0.080368,0.083698,0.084292,0.086960,0.087451,0.086627,0.086763,0.101220,0.101603,0.106797,0.114730,0.119446,0.172980,0.175873,0.183161,0.184460,0.190298,0.191373,0.189570,0.189868,0.221504,0.222343,0.233709,0.251068,0.261389,0.170658,0.174331,0.161039,0.209119,0.259138,0.267351,0.296145,0.032087,0.032624,0.033976,0.034217,0.035300,0.035499,0.035165,0.035220,0.041088,0.041244,0.043352,0.046573,0.048487
,019,129,,,1,,01,1,2,1.210245,1.230488,1.281473,1.290566,1.331412,1.338927,1.326316,1.328398,1.459358,1.513705,1.677857,1.909471,2.099651,4.388119,4.461515,4.646379,4.679347,4.827447,4.854697,4.808971,4.816520,5.291357,5.488407,6.083592,6.923382,7.612936,4.329213,4.422402,4.085202,5.304882,6.573745,6.782101,7.512537,0.269164,0.273667,0.285006,0.287028,0.296113,0.297784,0.294979,0.295442,0.324568,0.336655,0.373164,0.424676,0.466973
,019,131,,,1,,01,1,2,64.862656,65.947556,68.680108,69.167419,71.356554,71.759347,71.083454,71.195032,91.465286,93.821907,98.791878,108.552430,115.087010,90.546883,92.061381,95.875964,96.556240,99.612226,100.174516,99.230985,99.386745,127.683587,130.973379,137.911352,151.536874,160.659014,89.331388,91.254307,84.296335,109.463875,135.646312,139.945644,155.017862,12.856818,13.071863,13.613498,13.710091,14.144013,14.223853,14.089880,14.111997,18.129886,18.597006,19.582134,21.516832,22.812090
